Recv time, Packet num, ID   , flags, data              , float[1]    , float[0]    , sender addr 
11:15:32.552  , 6904      , 0x500,     , 0x000004D200001002, 1.7292e-042 , 5.74252e-042, 169.254.12.213
11:15:32.554  , 6905      , 0x501,     , 0x0000000000000000, 0           , 0           , 169.254.12.213
11:15:32.555  , 6906      , 0x502,     , 0x3F80000000000000, 1           , 0           , 169.254.12.213
11:15:32.556  , 6907      , 0x505,     , 0x0F00000000000000, 6.31089e-030, 0           , 169.254.12.213
11:15:32.597  , 6908      , 0x6F8,     , 0x070200030ED00D8E, 9.78012e-035, 5.1289e-030 , 169.254.242.205
11:15:32.604  , 6909      , 0x6FA,     , 0x0000000700000000, 9.80909e-045, 0           , 169.254.242.205
11:15:32.607  , 6910      , 0x6F6,     , 0x0024FC9AFE940134, 3.39669e-039, -9.8366e+037, 169.254.242.205
11:15:32.607  , 6911      , 0x6F9,     , 0x0001000200EC00E9, 9.18383e-041, 2.16735e-038, 169.254.242.205
11:15:32.607  , 6912      , 0x600,     , 0x0000670E00001000, 3.69691e-041, 5.73972e-042, 169.254.242.205
11:15:32.611  , 6913      , 0x6FB,     , 0x03A305800FFF1004, 9.58154e-037, 2.51511e-029, 169.254.242.205
11:15:32.613  , 6914      , 0x6F7,     , 0x0001019E00000110, 9.24156e-041, 3.81153e-043, 169.254.242.205
11:15:32.614  , 6915      , 0x6F4,     , 0x3F3ABCA2411F4E23, 0.729441    , 9.95658     , 169.254.242.205
11:15:32.614  , 6916      , 0x6F5,     , 0x0000000000000000, 0           , 0           , 169.254.242.205
11:15:32.615  , 6917      , 0x6FC,     , 0x0057000000000000, 7.98969e-039, 0           , 169.254.242.205
11:15:32.616  , 6918      , 0x6FD,     , 0x0000000000000080, 0           , 1.79366e-043, 169.254.242.205
11:15:32.690  , 6919      , 0x500,     , 0x000004D200001002, 1.7292e-042 , 5.74252e-042, 169.254.12.213
11:15:32.694  , 6920      , 0x501,     , 0x0000000000000000, 0           , 0           , 169.254.12.213
